country,sector,winner,loser,rationale
Afghanistan,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 58.2% of land) over standing forestry infrastructure (Avg: 1.9%).
Afghanistan,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 80.6%) relative to coal power assets (Avg: 0.0%).
Albania,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 42.1% of land) over standing forestry infrastructure (Avg: 28.5%).
Albania,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 96.0%) relative to coal power assets (Avg: 0.0%).
Algeria,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 17.4% of land) over standing forestry infrastructure (Avg: 0.7%).
Algeria,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 0.8%) relative to coal power assets (Avg: 0.0%).
Andorra,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 48.1% of land) over standing forestry infrastructure (Avg: 34.0%).
Andorra,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 99.0%) relative to coal power assets (Avg: 0.0%).
Angola,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 59.1% forest cover) relative to agricultural developments (Avg: 36.0%).
Angola,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 75.5%) relative to coal power assets (Avg: 0.0%).
Antigua and Barbuda,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 20.6% forest cover) relative to agricultural developments (Avg: 20.5%).
Antigua and Barbuda,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 1.0%) relative to coal power assets (Avg: 0.0%).
Arab World,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 32.9% of land) over standing forestry infrastructure (Avg: 2.1%).
Arab World,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 9.3%) relative to coal power assets (Avg: 1.6%).
Argentina,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 46.4% of land) over standing forestry infrastructure (Avg: 11.5%).
Argentina,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 31.5%) relative to coal power assets (Avg: 1.9%).
Armenia,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 53.9% of land) over standing forestry infrastructure (Avg: 11.6%).
Armenia,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 30.6%) relative to coal power assets (Avg: 0.0%).
Australia,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 58.3% of land) over standing forestry infrastructure (Avg: 17.2%).
Australia,Energy Systems,Energy Security (Coal),Climate Mitigation (Renewables),Grid generation mix relies primarily on baseline coal (Avg: 71.8%) over renewable infrastructures (Avg: 11.5%).
Austria,Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 46.6% forest cover) relative to agricultural developments (Avg: 36.6%).
Austria,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 71.5%) relative to coal power assets (Avg: 9.2%).
Azerbaijan,Land Use & Agriculture,Agricultural Production,Forestry & Biodiversity,Spatial allocation heavily prioritizes food production (Avg: 56.9% of land) over standing forestry infrastructure (Avg: 12.5%).
Azerbaijan,Energy Systems,Climate Mitigation (Renewables),Energy Security (Coal),Renewable output assets dominate the grid matrix (Avg: 9.5%) relative to coal power assets (Avg: 0.0%).
"Bahamas, The",Land Use & Agriculture,Forestry & Biodiversity,Agricultural Production,Ecosystem infrastructure dominates space (Avg: 50.9% forest cover) relative to agricultural developments (Avg: 1.1%).
