country,sector,winner,loser,rationale
Afghanistan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.1 MJ/$) and controlled environmental particulate exposure (63.6 µg/m³).
Albania,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.0 MJ/$) and controlled environmental particulate exposure (21.1 µg/m³).
Algeria,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.7 MJ/$) and controlled environmental particulate exposure (25.3 µg/m³).
Andorra,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.2 MJ/$) and controlled environmental particulate exposure (13.7 µg/m³).
Angola,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.9 MJ/$) and controlled environmental particulate exposure (23.9 µg/m³).
Antigua and Barbuda,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.4 MJ/$) and controlled environmental particulate exposure (18.5 µg/m³).
Argentina,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.5 MJ/$) and controlled environmental particulate exposure (16.2 µg/m³).
Armenia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.4 MJ/$) and controlled environmental particulate exposure (31.3 µg/m³).
Australia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (5.0 MJ/$) and controlled environmental particulate exposure (7.5 µg/m³).
Austria,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.1 MJ/$) and controlled environmental particulate exposure (17.7 µg/m³).
Azerbaijan,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (6.6 MJ/$) and controlled environmental particulate exposure (21.8 µg/m³).
"Bahamas, The",Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.4 MJ/$) and controlled environmental particulate exposure (18.6 µg/m³).
Bahrain,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (9.6 MJ/$) alongside elevated annual PM2.5 exposure (67.4 µg/m³).
Bangladesh,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (2.3 MJ/$) and controlled environmental particulate exposure (54.1 µg/m³).
Barbados,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.4 MJ/$) and controlled environmental particulate exposure (22.5 µg/m³).
Belarus,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (8.1 MJ/$) and controlled environmental particulate exposure (23.6 µg/m³).
Belgium,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.5 MJ/$) and controlled environmental particulate exposure (17.6 µg/m³).
Belize,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (4.4 MJ/$) and controlled environmental particulate exposure (26.1 µg/m³).
Benin,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (5.6 MJ/$) alongside elevated annual PM2.5 exposure (51.5 µg/m³).
Bhutan,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (12.3 MJ/$) alongside elevated annual PM2.5 exposure (32.5 µg/m³).
Bolivia,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.9 MJ/$) and controlled environmental particulate exposure (51.9 µg/m³).
Bosnia and Herzegovina,Mobility Transitions,Industrial Fossil Transit,Clean Urban Infrastructure,Macro structural trends show high industrial energy intensity (6.2 MJ/$) alongside elevated annual PM2.5 exposure (35.0 µg/m³).
Botswana,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.3 MJ/$) and controlled environmental particulate exposure (20.4 µg/m³).
Brazil,Mobility Transitions,Clean Urban Infrastructure,Industrial Fossil Transit,Urban systems display managed structural energy footprints (3.9 MJ/$) and controlled environmental particulate exposure (14.7 µg/m³).
