country,sector,winner,loser,rationale
Afghanistan,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.0 environmental provisions per agreement."
Albania,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 8.2 distinct environmental enforcement clauses across 11 agreements."
Algeria,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 6.6 distinct environmental enforcement clauses across 5 agreements."
Andorra,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
Argentina,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.5 environmental provisions per agreement."
Armenia,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 3.0 environmental provisions per agreement."
Australia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 20.8 distinct environmental enforcement clauses across 15 agreements."
Austria,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
Azerbaijan,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.5 environmental provisions per agreement."
Bahrain,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 30.5 distinct environmental enforcement clauses across 2 agreements."
Belarus,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 4.7 environmental provisions per agreement."
Belize,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.0 distinct environmental enforcement clauses across 1 agreements."
Bhutan,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.5 environmental provisions per agreement."
Bolivia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 10.5 distinct environmental enforcement clauses across 6 agreements."
Bosnia and Herzegovina,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 9.5 distinct environmental enforcement clauses across 10 agreements."
Brazil,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.8 environmental provisions per agreement."
Bulgaria,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 9.1 distinct environmental enforcement clauses across 16 agreements."
Cameroon,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.0 environmental provisions per agreement."
Canada,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 43.7 distinct environmental enforcement clauses across 17 agreements."
Chile,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 21.3 distinct environmental enforcement clauses across 29 agreements."
China,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 21.5 distinct environmental enforcement clauses across 13 agreements."
Colombia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 30.2 distinct environmental enforcement clauses across 20 agreements."
Costa Rica,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 21.4 distinct environmental enforcement clauses across 12 agreements."
Cote d'Ivoire,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 18.0 distinct environmental enforcement clauses across 1 agreements."
Croatia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 5.6 distinct environmental enforcement clauses across 11 agreements."
Cuba,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 3.4 environmental provisions per agreement."
Cyprus,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 0.5 environmental provisions per agreement."
Dominica,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 29.0 distinct environmental enforcement clauses across 4 agreements."
Dominican Republic,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 29.0 distinct environmental enforcement clauses across 4 agreements."
Ecuador,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.4 environmental provisions per agreement."
El Salvador,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.1 distinct environmental enforcement clauses across 7 agreements."
Estonia,Policy & Institutional Commitments,Environmental Trade Regulation,Unregulated Market Access,"Country structurally conditions its international trade partnerships, averaging 7.2 distinct environmental enforcement clauses across 16 agreements."
Finland,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 2.8 environmental provisions per agreement."
France,Policy & Institutional Commitments,Unregulated Market Access,Environmental Trade Regulation,"Country prioritizes trade volume and commercial liquidity, maintaining an unconditioned profile with an average of only 1.0 environmental provisions per agreement."
